epoch,global_step,lr,train_total,train_clip_cosine,train_clip_infonce,train_lowlevel_mse,val_loss,val_top1,val_top5,val_top10,val_mean_rank,val_mean_cosine,best_metric,is_best,seconds
0,58,2.543103448275862e-05,6.276055574417114,0.6748711302362639,5.601184450346848,,5.829606887651326,0.0,0.004232164449818622,0.007859733978234583,828.4002418379686,0.7173577547073364,0.004232164449818622,1,10.4
1,116,5e-05,5.85797537606338,0.2610782492777397,5.596897125244141,,5.804054241226547,0.0006045949214026602,0.0024183796856106408,0.007859733978234583,826.0876662636034,0.7400410771369934,0.004232164449818622,0,7.0
2,174,4.99871554050172e-05,5.840224076961649,0.2616188325758638,5.578605257231613,,5.7839786236635,0.0006045949214026602,0.0036275695284159614,0.008464328899637243,768.8621523579202,0.7234353423118591,0.004232164449818622,0,7.0
3,232,4.994863481875841e-05,5.779144541970615,0.2768953401466896,5.502249224432584,,5.7581251696779185,0.0006045949214026602,0.007255139056831923,0.012696493349455865,719.2642079806529,0.7086723446846008,0.007255139056831923,1,7.1
4,290,4.9884477823729956e-05,5.717845645444147,0.29257985230149897,5.425265805474643,,5.73734755095144,0.0006045949214026602,0.0036275695284159614,0.011487303506650543,686.8204353083435,0.6929361820220947,0.007255139056831923,0,7.0
5,348,4.979475034558115e-05,5.667571569311208,0.3079780001064827,5.359593555845064,,5.7249605237644845,0.0006045949214026602,0.006650544135429262,0.012091898428053204,657.2968561064087,0.6752665638923645,0.007255139056831923,0,6.9
6,406,4.967954458536126e-05,5.6202848861957415,0.3229343156362402,5.297350587515996,,5.725887675671652,0.0,0.007255139056831923,0.014510278113663845,635.7744860943168,0.6522049903869629,0.007255139056831923,0,7.0
7,464,4.9538978924776634e-05,5.571547631559701,0.3385077689228387,5.233039855957031,,5.710930075293729,0.0006045949214026602,0.008464328899637243,0.015114873035066506,612.648730350665,0.6416260600090027,0.008464328899637243,1,7.2
8,522,4.937319780454559e-05,5.534075736999512,0.34943237284134177,5.184643383683829,,5.722602141955743,0.0012091898428053204,0.009068923821039904,0.016324062877871828,607.9776299879081,0.6258127689361572,0.009068923821039904,1,7.1
9,580,4.9182371575975736e-05,5.4870658578543825,0.3632467049976875,5.123819153884361,,5.723821888523494,0.0024183796856106408,0.011487303506650543,0.019347037484885126,589.8500604594922,0.6110906004905701,0.011487303506650543,1,7.1
10,638,4.8966696325916515e-05,5.448955552331332,0.3750754528004548,5.073880096961712,,5.730177150527973,0.0012091898428053204,0.007255139056831923,0.015719467956469165,581.1438935912938,0.6007110476493835,0.011487303506650543,0,7.0
11,696,4.8726393675266716e-05,5.398484772649304,0.39020611448534603,5.008278682314116,,5.74490361692251,0.0018137847642079807,0.011487303506650543,0.018137847642079808,569.8736396614269,0.5720109343528748,0.011487303506650543,0,7.0
12,754,4.846171055124401e-05,5.36358564475487,0.40085017321438626,4.962735472054317,,5.790589967402466,0.0012091898428053204,0.009673518742442563,0.018742442563482467,587.481862152358,0.5566600561141968,0.011487303506650543,0,7.0
13,812,4.817291893365055e-05,5.32163301007501,0.412391885601241,4.909241117280105,,5.766371525761006,0.0018137847642079807,0.007859733978234583,0.019347037484885126,559.0489721886336,0.5458987951278687,0.011487303506650543,0,7.0
14,870,4.7860315575395316e-05,5.286404239720311,0.41935223032688274,4.867052012476428,,5.790559593971003,0.0012091898428053204,0.009068923821039904,0.01995163240628779,557.8295042321645,0.5253707766532898,0.011487303506650543,0,7.0
15,928,4.752422169756048e-05,5.246685957086497,0.43120487702303917,4.8154810543718005,,5.78098705457805,0.0018137847642079807,0.012696493349455865,0.022370012091898428,549.0888754534462,0.5182313323020935,0.012696493349455865,1,7.1
16,986,4.716498265932501e-05,5.214232625632451,0.44192261428668583,4.772309993875438,,5.788945925711432,0.0018137847642079807,0.013301088270858524,0.02599758162031439,544.124546553809,0.5037695169448853,0.013301088270858524,1,7.1
17,1044,4.678296760308474e-05,5.172725751482207,0.4509538360710802,4.7217718979408,,5.807950705974537,0.0024183796856106408,0.010882708585247884,0.024788391777509067,551.8651753325272,0.49979469180107117,0.013301088270858524,0,7.0
18,1102,4.637856907513366e-05,5.12961457515585,0.4608629885418662,4.668751585072484,,5.813621488707241,0.0018137847642079807,0.012696493349455865,0.02357920193470375,542.0810157194679,0.48367562890052795,0.013301088270858524,0,7.0
19,1160,4.595220262229601e-05,5.094909799510035,0.4693516657270234,4.6255581296723465,,5.833368536062367,0.0006045949214026602,0.013301088270858524,0.024788391777509067,542.8657799274486,0.46903809905052185,0.013301088270858524,0,7.0
20,1218,4.55043063649239e-05,5.050535234911688,0.4784672285976081,4.572067984219255,,5.8472824442631675,0.0006045949214026602,0.009673518742442563,0.02357920193470375,541.4141475211608,0.4598093330860138,0.013301088270858524,0,7.0
21,1276,4.503534054669892e-05,5.012210056699556,0.48550364888947584,4.5267063995887495,,5.875045728510496,0.0024183796856106408,0.019347037484885126,0.02962515114873035,540.0453446191052,0.43748438358306885,0.019347037484885126,1,7.1
22,1334,4.454578706170075e-05,4.978637226696672,0.4953446228956354,4.4832926125362,,5.87128275625651,0.0006045949214026602,0.012091898428053204,0.02599758162031439,540.6674727932285,0.43392202258110046,0.019347037484885126,0,7.0
23,1392,4.4036148959228365e-05,4.936717395124765,0.5009450629867357,4.435772336762527,,5.89176660120271,0.0012091898428053204,0.009068923821039904,0.02418379685610641,538.2575574365176,0.4171772599220276,0.019347037484885126,0,7.0
24,1450,4.350694992688289e-05,4.9018956546125745,0.5079900560707882,4.393905606763116,,5.8936983971094135,0.0018137847642079807,0.013301088270858524,0.02357920193470375,536.4165659008464,0.4109772741794586,0.019347037484885126,0,7.0
25,1508,4.2958733752443195e-05,4.860416363025534,0.5134835803303225,4.346932805817703,,5.902382763582389,0.0012091898428053204,0.010278113663845224,0.02539298669891173,535.7932285368803,0.400992751121521,0.019347037484885126,0,7.0
26,1566,4.239206376508717e-05,4.8240071000724,0.51984811548529,4.304159000002104,,5.908671944144271,0.0036275695284159614,0.014510278113663845,0.02539298669891173,541.5804111245466,0.3996396064758301,0.019347037484885126,0,7.0
27,1624,4.180752225653292e-05,4.786184968619511,0.5237973512246691,4.262387604549013,,5.9193397479305245,0.0024183796856106408,0.016324062877871828,0.028415961305925032,535.3337363966143,0.3883340358734131,0.019347037484885126,0,7.0
28,1682,4.120570988269472e-05,4.746774073304801,0.5303372175529085,4.216436846502896,,5.938325196396483,0.0036275695284159614,0.014510278113663845,0.026602176541717048,534.4733978234583,0.3723120093345642,0.019347037484885126,0,7.0
29,1740,4.058724504646834e-05,4.714747215139455,0.5346623874943832,4.180084820451407,,5.938852240990267,0.0024183796856106408,0.015114873035066506,0.03143893591293833,537.0314389359129,0.37357693910598755,0.019347037484885126,0,7.0
30,1798,3.9952763262280405e-05,4.678877476988168,0.5384978867810348,4.1403796097327925,,5.961495583982825,0.003022974607013301,0.016324062877871828,0.02599758162031439,543.6614268440145,0.3644171953201294,0.019347037484885126,0,7.0
