metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.005,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.05,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.105,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,80.17,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,69.0,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.4685870409011841,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.44116066460079667,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.5038817241195117,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.46858700070375986,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.10368971137380449,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,correct,sub-01,test,13.747093249155505,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,correct,sub-01,test,1.8380140805570608,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,correct,sub-01,test,0.011110719800581306,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,correct,all,test,0.005,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,all,test,0.05,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,all,test,0.105,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,80.17,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,all,test,69.0,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.4685870409011841,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.01,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.025,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.065,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,permuted,sub-01,test,100.755,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,permuted,sub-01,test,100.5,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,permuted,sub-01,test,0.44232991337776184,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,permuted,sub-01,test,0.46305043043945376,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,permuted,sub-01,test,0.515911474912388,42,outputs\exp03_17_eeg_lowlevel_multitask\checkpoints\best.pt
