metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.005,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.045,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.1,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,84.345,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,80.5,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.5791230797767639,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.632849739454954,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.6111680725103474,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.5791230908548674,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.11123031715343427,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top1,correct,all,test,0.005,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,all,test,0.045,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,all,test,0.1,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,84.345,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,all,test,80.5,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.5791230797767639,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.005,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.03,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.055,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,permuted,sub-01,test,101.85,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,permuted,sub-01,test,105.0,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,permuted,sub-01,test,0.5525122284889221,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mse,permuted,sub-01,test,0.6687749813899705,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mae,permuted,sub-01,test,0.6275696783545519,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,permuted,sub-01,test,0.5525122227735157,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,permuted,sub-01,test,-0.011357992361825886,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top1,permuted,all,test,0.005,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top5,permuted,all,test,0.03,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top10,permuted,all,test,0.055,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,permuted,all,test,101.85,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,permuted,all,test,105.0,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,permuted,all,test,0.5525122284889221,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top1,zero,sub-01,test,0.005,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top5,zero,sub-01,test,0.025,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top10,zero,sub-01,test,0.05,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,zero,sub-01,test,100.5,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,zero,sub-01,test,100.5,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,zero,sub-01,test,0.5137155055999756,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mse,zero,sub-01,test,0.6653848979991086,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mae,zero,sub-01,test,0.6230862521397891,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,zero,sub-01,test,0.5137154984273411,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,zero,sub-01,test,0.0,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top1,zero,all,test,0.005,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top5,zero,all,test,0.025,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top10,zero,all,test,0.05,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,zero,all,test,100.5,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,zero,all,test,100.5,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,zero,all,test,0.5137155055999756,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,sub-01,test,0.005,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,sub-01,test,0.03,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,sub-01,test,0.055,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,sub-01,test,100.47,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,sub-01,test,97.5,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,sub-01,test,0.5833422541618347,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mse,noise,sub-01,test,0.5004111405163955,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mae,noise,sub-01,test,0.5478882529778691,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,noise,sub-01,test,0.5833422556574529,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,noise,sub-01,test,0.0020979839569389576,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,all,test,0.005,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,all,test,0.03,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,all,test,0.055,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,all,test,100.47,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,all,test,97.5,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,all,test,0.5833422541618347,42,outputs\exp01_63_eeg_to_clip\checkpoints\best.pt
