metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,subj01,test,0.4779874213836478,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,subj01,test,0.8490566037735849,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,subj01,test,0.9559748427672956,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,subj01,test,3.389937106918239,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,subj01,test,2.0,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,subj01,test,0.5075014233589172,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
embedding/mse,correct,subj01,test,1.7096655130055993,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
embedding/mae,correct,subj01,test,0.9712272342638737,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,correct,subj01,test,0.5075014584678876,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,correct,subj01,test,0.37378412674388367,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,correct,subj01,test,10.474381993875177,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,correct,subj01,test,1.7301431614874407,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,correct,subj01,test,0.04955165286803381,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,correct,all,test,0.4779874213836478,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,all,test,0.8490566037735849,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,all,test,0.9559748427672956,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,3.389937106918239,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,all,test,2.0,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.5075014233589172,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,permuted,subj01,test,0.006289308176100629,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,permuted,subj01,test,0.05660377358490566,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,permuted,subj01,test,0.07547169811320754,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,permuted,subj01,test,81.59748427672956,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,permuted,subj01,test,79.0,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,permuted,subj01,test,0.2522420287132263,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
embedding/mse,permuted,subj01,test,2.2547681904705046,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
embedding/mae,permuted,subj01,test,1.106286333874075,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,permuted,subj01,test,0.2522420088668457,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,permuted,subj01,test,0.007436892837559428,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,permuted,subj01,test,17.71459273163671,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,permuted,subj01,test,1.8718130282945393,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,permuted,subj01,test,0.00031285064190106934,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,permuted,all,test,0.006289308176100629,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,permuted,all,test,0.05660377358490566,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,permuted,all,test,0.07547169811320754,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,permuted,all,test,81.59748427672956,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,permuted,all,test,79.0,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,permuted,all,test,0.2522420287132263,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,zero,subj01,test,0.006289308176100629,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,zero,subj01,test,0.031446540880503145,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,zero,subj01,test,0.06289308176100629,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,zero,subj01,test,80.0,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,zero,subj01,test,80.0,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,zero,subj01,test,0.06471780687570572,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
embedding/mse,zero,subj01,test,0.7142455309094112,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
embedding/mae,zero,subj01,test,0.5611956472941674,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,zero,subj01,test,0.06471781275816794,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,zero,subj01,test,0.0,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,zero,subj01,test,13.886201423279662,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,zero,subj01,test,1.765729588748088,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,zero,subj01,test,0.0,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,zero,all,test,0.006289308176100629,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,zero,all,test,0.031446540880503145,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,zero,all,test,0.06289308176100629,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,zero,all,test,80.0,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,zero,all,test,80.0,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,zero,all,test,0.06471780687570572,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,noise,subj01,test,0.012578616352201259,42,outputs\exp03_fmri_lowlevel_multitask\checkpoints\best.pt
