metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.015,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.085,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.165,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,69.9,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,61.5,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.6209635734558105,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.3033877112661138,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.41291326958223107,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.6209635723928255,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.07109418142682859,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top1,correct,all,test,0.015,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,all,test,0.085,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,all,test,0.165,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,69.9,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,all,test,61.5,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.6209635734558105,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.005,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.03,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.04,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,permuted,sub-01,test,101.255,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,permuted,sub-01,test,101.0,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,permuted,sub-01,test,0.5916822552680969,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mse,permuted,sub-01,test,0.3227257954915338,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mae,permuted,sub-01,test,0.4254503604235921,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,permuted,sub-01,test,0.5916822734571805,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,permuted,sub-01,test,-0.0017135896651038478,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top1,permuted,all,test,0.005,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top5,permuted,all,test,0.03,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top10,permuted,all,test,0.04,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,permuted,all,test,101.255,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,permuted,all,test,101.0,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,permuted,all,test,0.5916822552680969,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top1,zero,sub-01,test,0.005,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top5,zero,sub-01,test,0.025,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top10,zero,sub-01,test,0.05,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,zero,sub-01,test,100.5,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,zero,sub-01,test,100.5,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,zero,sub-01,test,0.407288134098053,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mse,zero,sub-01,test,0.43901467654962895,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mae,zero,sub-01,test,0.48508372035765207,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,zero,sub-01,test,0.4072881443821984,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,zero,sub-01,test,0.0,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top1,zero,all,test,0.005,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top5,zero,all,test,0.025,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top10,zero,all,test,0.05,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,zero,all,test,100.5,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,zero,all,test,100.5,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,zero,all,test,0.407288134098053,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,sub-01,test,0.005,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,sub-01,test,0.025,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,sub-01,test,0.055,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,sub-01,test,99.86,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,sub-01,test,95.0,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,sub-01,test,0.5859775543212891,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mse,noise,sub-01,test,0.3298721305326934,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mae,noise,sub-01,test,0.43954898039246887,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,noise,sub-01,test,0.5859775520557523,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,noise,sub-01,test,0.002503149704273118,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,all,test,0.005,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,all,test,0.025,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,all,test,0.055,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,all,test,99.86,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,all,test,95.0,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,all,test,0.5859775543212891,42,outputs\exp01_raw_ablate_mvnn_eeg_to_clip\checkpoints\best.pt
