metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.015,42,outputs\exp03_raw_ablate_mvnn_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.08,42,outputs\exp03_raw_ablate_mvnn_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.17,42,outputs\exp03_raw_ablate_mvnn_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,70.055,42,outputs\exp03_raw_ablate_mvnn_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,62.0,42,outputs\exp03_raw_ablate_mvnn_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.6415704488754272,42,outputs\exp03_raw_ablate_mvnn_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.2909640833497667,42,outputs\exp03_raw_ablate_mvnn_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.40868490759318776,42,outputs\exp03_raw_ablate_mvnn_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.6415704832864353,42,outputs\exp03_raw_ablate_mvnn_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.07015322698832692,42,outputs\exp03_raw_ablate_mvnn_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,correct,sub-01,test,13.66122353979185,42,outputs\exp03_raw_ablate_mvnn_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,correct,sub-01,test,1.838991889548983,42,outputs\exp03_raw_ablate_mvnn_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,correct,sub-01,test,0.004806621768056136,42,outputs\exp03_raw_ablate_mvnn_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,correct,all,test,0.015,42,outputs\exp03_raw_ablate_mvnn_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,all,test,0.08,42,outputs\exp03_raw_ablate_mvnn_eeg_lowlevel_multitask\checkpoints\best.pt
