metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.005,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.055,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.09,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,88.895,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,82.0,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.31655260920524597,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.4776070024656309,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.47877324492444584,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.31655261245271477,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.038579624796903765,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top1,correct,all,test,0.005,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,all,test,0.055,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,all,test,0.09,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,88.895,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,all,test,82.0,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.31655260920524597,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.005,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.02,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.045,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,permuted,sub-01,test,100.43,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,permuted,sub-01,test,103.0,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,permuted,sub-01,test,0.30168983340263367,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mse,permuted,sub-01,test,0.48648721024023095,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mae,permuted,sub-01,test,0.4846664100441634,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,permuted,sub-01,test,0.3016898235327497,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,permuted,sub-01,test,0.003070667531143443,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top1,permuted,all,test,0.005,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top5,permuted,all,test,0.02,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top10,permuted,all,test,0.045,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,permuted,all,test,100.43,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,permuted,all,test,103.0,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,permuted,all,test,0.30168983340263367,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top1,zero,sub-01,test,0.005,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top5,zero,sub-01,test,0.025,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top10,zero,sub-01,test,0.05,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,zero,sub-01,test,100.5,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,zero,sub-01,test,100.5,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,zero,sub-01,test,0.19340389966964722,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mse,zero,sub-01,test,0.5421617179308822,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mae,zero,sub-01,test,0.5112370839855187,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,zero,sub-01,test,0.19340388149837998,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,zero,sub-01,test,0.0,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top1,zero,all,test,0.005,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top5,zero,all,test,0.025,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top10,zero,all,test,0.05,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,zero,all,test,100.5,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,zero,all,test,100.5,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,zero,all,test,0.19340389966964722,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,sub-01,test,0.0,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,sub-01,test,0.025,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,sub-01,test,0.05,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,sub-01,test,100.96,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,sub-01,test,97.5,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,sub-01,test,0.27570614218711853,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mse,noise,sub-01,test,0.47122343639385234,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mae,noise,sub-01,test,0.45659579217862756,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,noise,sub-01,test,0.27570612873892825,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,noise,sub-01,test,-0.003370256562957618,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,all,test,0.0,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,all,test,0.025,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,all,test,0.05,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,all,test,100.96,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,all,test,97.5,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,all,test,0.27570614218711853,42,outputs\exp01_raw_baseline_eeg_to_clip\checkpoints\best.pt
