metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.005,42,outputs\exp03_raw_baseline_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.045,42,outputs\exp03_raw_baseline_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.115,42,outputs\exp03_raw_baseline_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,85.085,42,outputs\exp03_raw_baseline_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,82.5,42,outputs\exp03_raw_baseline_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.36561575531959534,42,outputs\exp03_raw_baseline_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.44463222226942645,42,outputs\exp03_raw_baseline_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.46618565261174394,42,outputs\exp03_raw_baseline_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.36561579349464646,42,outputs\exp03_raw_baseline_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.03954529623867597,42,outputs\exp03_raw_baseline_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,correct,sub-01,test,14.210841499721448,42,outputs\exp03_raw_baseline_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,correct,sub-01,test,1.8473966034044196,42,outputs\exp03_raw_baseline_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,correct,sub-01,test,0.014486173536811283,42,outputs\exp03_raw_baseline_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,correct,all,test,0.005,42,outputs\exp03_raw_baseline_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,all,test,0.045,42,outputs\exp03_raw_baseline_eeg_lowlevel_multitask\checkpoints\best.pt
