metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.01,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.04,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.075,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,89.995,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,82.0,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.4573042690753937,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.40394130714219356,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.4640259659479483,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.4573042732387846,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.04116278316303654,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top1,correct,all,test,0.01,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,all,test,0.04,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,all,test,0.075,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,89.995,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,all,test,82.0,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.4573042690753937,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.01,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.05,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.08,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,permuted,sub-01,test,99.11,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,permuted,sub-01,test,100.5,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,permuted,sub-01,test,0.44559094309806824,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mse,permuted,sub-01,test,0.41207899999846326,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mae,permuted,sub-01,test,0.4689475513757416,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,permuted,sub-01,test,0.4455909473850859,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,permuted,sub-01,test,0.004478775659966524,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top1,permuted,all,test,0.01,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top5,permuted,all,test,0.05,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top10,permuted,all,test,0.08,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,permuted,all,test,99.11,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,permuted,all,test,100.5,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,permuted,all,test,0.44559094309806824,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top1,zero,sub-01,test,0.005,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top5,zero,sub-01,test,0.025,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top10,zero,sub-01,test,0.05,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,zero,sub-01,test,100.5,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,zero,sub-01,test,100.5,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,zero,sub-01,test,0.30584025382995605,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mse,zero,sub-01,test,0.5263508522048641,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mae,zero,sub-01,test,0.5296657232094003,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,zero,sub-01,test,0.3058402499651817,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,zero,sub-01,test,0.0,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top1,zero,all,test,0.005,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top5,zero,all,test,0.025,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top10,zero,all,test,0.05,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,zero,all,test,100.5,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,zero,all,test,100.5,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,zero,all,test,0.30584025382995605,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,sub-01,test,0.005,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,sub-01,test,0.05,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,sub-01,test,0.055,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,sub-01,test,101.52,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,sub-01,test,102.0,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,sub-01,test,0.40695327520370483,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mse,noise,sub-01,test,0.41353334756199905,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mae,noise,sub-01,test,0.4418548903860825,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,noise,sub-01,test,0.4069532479387569,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,noise,sub-01,test,-0.001114325923566238,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,all,test,0.005,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,all,test,0.05,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,all,test,0.055,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,all,test,101.52,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,all,test,102.0,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,all,test,0.40695327520370483,42,outputs\exp01_raw_baseline_minus100_eeg_to_clip\checkpoints\best.pt
