metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.01,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.045,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.1,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,87.98,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,80.5,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.37637969851493835,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.43782373920664935,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.46366651384103696,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.3763796466637206,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.03893585276424951,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,correct,sub-01,test,13.940089419873821,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,correct,sub-01,test,1.8442786454921714,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,correct,sub-01,test,0.012722964434764814,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,correct,all,test,0.01,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,all,test,0.045,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,all,test,0.1,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,87.98,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,all,test,80.5,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.37637969851493835,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.01,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.025,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.04,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,permuted,sub-01,test,94.31,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,permuted,sub-01,test,85.0,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,permuted,sub-01,test,0.36691814661026,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,permuted,sub-01,test,0.4437149986441987,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,permuted,sub-01,test,0.46782078105539376,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,permuted,sub-01,test,0.3669181147367863,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,permuted,sub-01,test,0.012973336791403658,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,permuted,sub-01,test,14.488711690285687,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,permuted,sub-01,test,1.851953721488353,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,permuted,sub-01,test,-0.0003489310033235393,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,permuted,all,test,0.01,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,permuted,all,test,0.025,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,permuted,all,test,0.04,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,permuted,all,test,94.31,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,permuted,all,test,85.0,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,permuted,all,test,0.36691814661026,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,zero,sub-01,test,0.005,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,zero,sub-01,test,0.025,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,zero,sub-01,test,0.05,42,outputs\exp03_raw_baseline_minus100_eeg_lowlevel_multitask\checkpoints\best.pt
