metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.015,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.065,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.145,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,68.35,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,51.5,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.37100541591644287,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.45461861899927763,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.47523940702832057,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.3710053932594397,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.11007257639746991,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/top1,correct,all,test,0.015,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,all,test,0.065,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,all,test,0.145,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,68.35,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,all,test,51.5,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.37100541591644287,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.01,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.02,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.04,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,permuted,sub-01,test,100.54,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,permuted,sub-01,test,109.0,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,permuted,sub-01,test,0.3219349682331085,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
embedding/mse,permuted,sub-01,test,0.4893414531679544,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
embedding/mae,permuted,sub-01,test,0.49413855018450836,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,permuted,sub-01,test,0.3219349372805803,42,outputs\exp01_raw_channels_17_eeg_to_clip\checkpoints\best.pt
