metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.005,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.08,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.145,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,68.435,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,50.5,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.4225456118583679,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.4364697567008606,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.4792693756576195,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.4225456432784045,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.10728547400082981,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,correct,sub-01,test,13.253080545314297,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,correct,sub-01,test,1.8307311277547174,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,correct,sub-01,test,0.014086988959664523,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,correct,all,test,0.005,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,all,test,0.08,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,all,test,0.145,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,68.435,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,all,test,50.5,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.4225456118583679,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.005,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.02,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.04,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,permuted,sub-01,test,99.16,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,permuted,sub-01,test,92.0,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,permuted,sub-01,test,0.37873581051826477,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,permuted,sub-01,test,0.4682430722351999,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,permuted,sub-01,test,0.497758232545011,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,permuted,sub-01,test,0.37873578976374517,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,permuted,sub-01,test,0.0032742564853414087,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,permuted,sub-01,test,14.369876957878073,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,permuted,sub-01,test,1.8527883410904329,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,permuted,sub-01,test,-0.0003630722492575266,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,permuted,all,test,0.005,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,permuted,all,test,0.02,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,permuted,all,test,0.04,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,permuted,all,test,99.16,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,permuted,all,test,92.0,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,permuted,all,test,0.37873581051826477,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,zero,sub-01,test,0.005,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,zero,sub-01,test,0.025,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,zero,sub-01,test,0.05,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,zero,sub-01,test,100.5,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,zero,sub-01,test,100.5,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,zero,sub-01,test,0.29424217343330383,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,zero,sub-01,test,0.4730074123364811,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,zero,sub-01,test,0.4746606304191179,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,zero,sub-01,test,0.29424215039410617,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,zero,sub-01,test,0.0,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,zero,sub-01,test,14.178444608228661,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,zero,sub-01,test,1.8529906904198719,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,zero,sub-01,test,0.0,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,zero,all,test,0.005,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,zero,all,test,0.025,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,zero,all,test,0.05,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,zero,all,test,100.5,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,zero,all,test,100.5,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,zero,all,test,0.29424217343330383,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,noise,sub-01,test,0.005,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,noise,sub-01,test,0.02,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,noise,sub-01,test,0.05,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,noise,sub-01,test,100.675,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,noise,sub-01,test,99.0,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,noise,sub-01,test,0.22218731045722961,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,noise,sub-01,test,0.5430309879856527,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,noise,sub-01,test,0.4999760198045457,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,noise,sub-01,test,0.22218730280622728,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,noise,sub-01,test,-0.0050103871762847835,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,noise,sub-01,test,14.527924904250135,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,noise,sub-01,test,1.8611558453781527,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,noise,sub-01,test,-0.005500704941354108,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,noise,all,test,0.005,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,noise,all,test,0.02,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,noise,all,test,0.05,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,noise,all,test,100.675,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,noise,all,test,99.0,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,noise,all,test,0.22218731045722961,42,outputs\exp03_raw_channels_17_eeg_lowlevel_multitask\checkpoints\best.pt
