metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.015,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.035,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.055,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,91.54,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,82.5,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.2756035327911377,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.5018403967427061,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.4877744123671043,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.2756035035115783,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.03452635275008082,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/top1,correct,all,test,0.015,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,all,test,0.035,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,all,test,0.055,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,91.54,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,all,test,82.5,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.2756035327911377,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.01,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.025,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.04,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,permuted,sub-01,test,103.855,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,permuted,sub-01,test,104.5,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,permuted,sub-01,test,0.2599032521247864,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
embedding/mse,permuted,sub-01,test,0.5118352717680823,42,outputs\exp01_raw_frequency_0_5_40_eeg_to_clip\checkpoints\best.pt
