metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.01,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.04,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.065,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,89.065,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,83.5,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.2667273283004761,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.49613293214131154,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.47659694392991053,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.2667273203557594,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.040970972895882654,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,correct,sub-01,test,14.77285280042201,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,correct,sub-01,test,1.8553818525612709,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,correct,sub-01,test,0.009326415821780456,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,correct,all,test,0.01,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,all,test,0.04,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,all,test,0.065,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,89.065,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,all,test,83.5,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.2667273283004761,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.005,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.025,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.05,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,permuted,sub-01,test,96.22,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,permuted,sub-01,test,94.5,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,permuted,sub-01,test,0.25506627559661865,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,permuted,sub-01,test,0.5035395958926707,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,permuted,sub-01,test,0.48100594137687913,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,permuted,sub-01,test,0.255066250384912,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,permuted,sub-01,test,0.009566353881407155,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,permuted,sub-01,test,15.09063482375991,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,permuted,sub-01,test,1.8621791286884286,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,permuted,sub-01,test,-0.004607600913286667,42,outputs\exp03_raw_frequency_0_5_40_eeg_lowlevel_multitask\checkpoints\best.pt
