metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.005,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.03,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.085,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,85.565,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,79.0,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.42287352681159973,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.4208122374836602,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.4650797446366134,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.4228735432585273,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.04233311055769887,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top1,correct,all,test,0.005,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,all,test,0.03,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,all,test,0.085,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,85.565,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,all,test,79.0,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.42287352681159973,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.0,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.02,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.06,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,permuted,sub-01,test,100.055,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,permuted,sub-01,test,99.5,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,permuted,sub-01,test,0.40484634041786194,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mse,permuted,sub-01,test,0.43176889687504977,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mae,permuted,sub-01,test,0.4714515090402263,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,permuted,sub-01,test,0.40484634187687923,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,permuted,sub-01,test,-0.0020631653064064146,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top1,permuted,all,test,0.0,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top5,permuted,all,test,0.02,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top10,permuted,all,test,0.06,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,permuted,all,test,100.055,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,permuted,all,test,99.5,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,permuted,all,test,0.40484634041786194,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top1,zero,sub-01,test,0.005,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top5,zero,sub-01,test,0.025,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top10,zero,sub-01,test,0.05,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,zero,sub-01,test,100.5,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,zero,sub-01,test,100.5,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,zero,sub-01,test,0.30828526616096497,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mse,zero,sub-01,test,0.47298014044060194,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mae,zero,sub-01,test,0.48220342153171564,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,zero,sub-01,test,0.3082852792931877,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,zero,sub-01,test,0.0,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top1,zero,all,test,0.005,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top5,zero,all,test,0.025,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top10,zero,all,test,0.05,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,zero,all,test,100.5,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,zero,all,test,100.5,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,zero,all,test,0.30828526616096497,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,sub-01,test,0.005,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,sub-01,test,0.025,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,sub-01,test,0.06,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,sub-01,test,100.23,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,sub-01,test,100.0,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,sub-01,test,0.40827667713165283,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mse,noise,sub-01,test,0.4135439251134446,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mae,noise,sub-01,test,0.44309730540043385,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,noise,sub-01,test,0.40827664786850293,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,noise,sub-01,test,0.0033969038632859997,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,all,test,0.005,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,all,test,0.025,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,all,test,0.06,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,all,test,100.23,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,all,test,100.0,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,all,test,0.40827667713165283,42,outputs\exp01_raw_reference_car_eeg_to_clip\checkpoints\best.pt
