metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.01,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.065,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.12,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,87.395,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,80.5,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.3199044466018677,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.4697069968082257,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.4718556239945021,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.3199044628928134,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.0387655968882129,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,correct,sub-01,test,14.408153452575384,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,correct,sub-01,test,1.85027346152241,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,correct,sub-01,test,0.015685012822688645,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,correct,all,test,0.01,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,all,test,0.065,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,all,test,0.12,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,87.395,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,all,test,80.5,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.3199044466018677,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.01,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.025,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.06,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,permuted,sub-01,test,98.48,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,permuted,sub-01,test,96.5,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,permuted,sub-01,test,0.30507177114486694,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,permuted,sub-01,test,0.47870002949987184,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,permuted,sub-01,test,0.4769209008778366,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,permuted,sub-01,test,0.3050717715583415,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,permuted,sub-01,test,0.004416275713566573,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,permuted,sub-01,test,14.722602188005721,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,permuted,sub-01,test,1.8577966324201955,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,permuted,sub-01,test,-0.001039237609531362,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,permuted,all,test,0.01,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,permuted,all,test,0.025,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,permuted,all,test,0.06,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,permuted,all,test,98.48,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,permuted,all,test,96.5,42,outputs\exp03_raw_reference_car_eeg_lowlevel_multitask\checkpoints\best.pt
