metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.02,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.07,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.105,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,78.325,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,65.5,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.3265339136123657,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.4808422799698208,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.47974870069691256,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.3265339255062061,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.06548932330373734,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top1,correct,all,test,0.02,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,all,test,0.07,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,all,test,0.105,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,78.325,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,all,test,65.5,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.3265339136123657,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.005,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.035,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.055,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,permuted,sub-01,test,98.775,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,permuted,sub-01,test,99.5,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,permuted,sub-01,test,0.29561224579811096,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mse,permuted,sub-01,test,0.5002638235365764,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mae,permuted,sub-01,test,0.4904072725675481,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,permuted,sub-01,test,0.2956122405876056,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,permuted,sub-01,test,0.003300270280114365,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top1,permuted,all,test,0.005,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top5,permuted,all,test,0.035,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top10,permuted,all,test,0.055,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,permuted,all,test,98.775,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,permuted,all,test,99.5,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,permuted,all,test,0.29561224579811096,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top1,zero,sub-01,test,0.005,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top5,zero,sub-01,test,0.025,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top10,zero,sub-01,test,0.05,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,zero,sub-01,test,100.5,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,zero,sub-01,test,100.5,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,zero,sub-01,test,0.22964172065258026,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mse,zero,sub-01,test,0.5163465889624863,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mae,zero,sub-01,test,0.49852428412582717,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,zero,sub-01,test,0.22964172356842485,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,zero,sub-01,test,0.0,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top1,zero,all,test,0.005,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top5,zero,all,test,0.025,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top10,zero,all,test,0.05,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,zero,all,test,100.5,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,zero,all,test,100.5,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,zero,all,test,0.22964172065258026,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,sub-01,test,0.005,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,sub-01,test,0.01,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,sub-01,test,0.03,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,sub-01,test,96.11,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,sub-01,test,90.0,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,sub-01,test,0.2951653003692627,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mse,noise,sub-01,test,0.4554253926109622,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mae,noise,sub-01,test,0.4415016455502549,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,noise,sub-01,test,0.2951653069268467,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,noise,sub-01,test,0.009265274183938205,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,all,test,0.005,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,all,test,0.01,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,all,test,0.03,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,all,test,96.11,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,all,test,90.0,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,all,test,0.2951653003692627,42,outputs\exp01_raw_sampling_100hz_eeg_to_clip\checkpoints\best.pt
