metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.02,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.07,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.14,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,76.605,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,71.0,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.36217352747917175,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.460563920735097,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.47725441331236407,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.3621735761550916,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.06090149149866281,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,correct,sub-01,test,13.935282924597427,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,correct,sub-01,test,1.8451845066029111,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,correct,sub-01,test,0.010086698715808157,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,correct,all,test,0.02,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
