metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.03,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.105,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.195,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,60.245,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,46.5,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.553169846534729,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.35522205644578714,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.4490356240035381,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.5531698064264366,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.08968269132851352,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,correct,sub-01,test,13.62002277265764,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,correct,sub-01,test,1.8372003396852385,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,correct,sub-01,test,0.013048081011025439,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,correct,all,test,0.03,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,all,test,0.105,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,all,test,0.195,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,60.245,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,all,test,46.5,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.553169846534729,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.01,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.025,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.04,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,permuted,sub-01,test,96.04,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,permuted,sub-01,test,100.5,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,permuted,sub-01,test,0.5185193419456482,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,permuted,sub-01,test,0.37954956907626247,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,permuted,sub-01,test,0.46486997874441044,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,permuted,sub-01,test,0.5185193414917869,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,permuted,sub-01,test,0.007223649596864013,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,permuted,sub-01,test,14.072436964703083,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,permuted,sub-01,test,1.8459106734428576,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,permuted,sub-01,test,0.005544272265180752,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,permuted,all,test,0.01,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,permuted,all,test,0.025,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,permuted,all,test,0.04,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,permuted,all,test,96.04,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,permuted,all,test,100.5,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,permuted,all,test,0.5185193419456482,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,zero,sub-01,test,0.005,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,zero,sub-01,test,0.025,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,zero,sub-01,test,0.05,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,zero,sub-01,test,100.5,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,zero,sub-01,test,100.5,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,zero,sub-01,test,0.4960041344165802,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,zero,sub-01,test,0.3750265483227129,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,zero,sub-01,test,0.45187464154686796,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,zero,sub-01,test,0.4960041717321802,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,zero,sub-01,test,0.0,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,zero,sub-01,test,15.026855960561216,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,zero,sub-01,test,1.861133706674134,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,zero,sub-01,test,0.0,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,zero,all,test,0.005,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,zero,all,test,0.025,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,zero,all,test,0.05,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,zero,all,test,100.5,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,zero,all,test,100.5,42,outputs\exp03_raw_temporal_100_600_eeg_lowlevel_multitask\checkpoints\best.pt
