metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.035,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.1,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.18,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,66.865,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,44.0,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.329732745885849,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.49287998388846554,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.4900651419290879,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.32973277696278375,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.1050282523384609,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top1,correct,all,test,0.035,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,all,test,0.1,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,all,test,0.18,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,66.865,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,all,test,44.0,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.329732745885849,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.01,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.045,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.065,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,permuted,sub-01,test,101.325,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,permuted,sub-01,test,102.0,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,permuted,sub-01,test,0.2760564088821411,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
embedding/mse,permuted,sub-01,test,0.5292632651189414,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
embedding/mae,permuted,sub-01,test,0.5106397607796024,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
