metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.005,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.02,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.055,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,93.005,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,93.0,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.617160439491272,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.48911056809485226,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.5368656212883017,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.6171604074608003,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.03791721621855955,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/top1,correct,all,test,0.005,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/top5,correct,all,test,0.02,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/top10,correct,all,test,0.055,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,93.005,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,correct,all,test,93.0,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
