metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,correct,sub-01,test,0.01,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,sub-01,test,0.03,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,sub-01,test,0.065,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,sub-01,test,91.705,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,sub-01,test,87.5,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,sub-01,test,0.4641960859298706,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,correct,sub-01,test,0.46528721680191554,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,correct,sub-01,test,0.5177970862989374,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,correct,sub-01,test,0.4641960602936846,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,correct,sub-01,test,0.0442956669313635,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,correct,sub-01,test,13.965368821905594,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,correct,sub-01,test,1.8418044435089427,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,correct,sub-01,test,0.008172303457511264,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,correct,all,test,0.01,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,correct,all,test,0.03,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,correct,all,test,0.065,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,correct,all,test,91.705,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,correct,all,test,87.5,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,correct,all,test,0.4641960859298706,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,permuted,sub-01,test,0.005,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,permuted,sub-01,test,0.035,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,permuted,sub-01,test,0.055,42,outputs\exp03_raw_train_independent_trials_eeg_lowlevel_multitask\checkpoints\best.pt
