epoch,global_step,lr,train_total,train_clip_cosine,train_clip_infonce,train_lowlevel_mse,val_loss,val_top1,val_top5,val_top10,val_mean_rank,val_mean_cosine,best_metric,is_best,seconds
0,58,2.543103448275862e-05,10.101158651812323,0.6645337307247622,5.6026394285004715,15.335941775091763,9.467303590878322,0.0006045949214026602,0.004232164449818622,0.006650544135429262,826.2629987908101,0.7079746127128601,0.004232164449818622,1,10.9
1,116,5e-05,9.678846227711645,0.25985694599562675,5.600102917901401,15.275545646404398,9.432164967132163,0.0006045949214026602,0.003022974607013301,0.006045949214026602,821.9038694074969,0.7408713698387146,0.004232164449818622,0,7.0
2,174,4.99871554050172e-05,9.663040144690152,0.25979032444542854,5.584761520911908,15.273952895197375,9.420150459317227,0.0,0.003022974607013301,0.007255139056831923,785.7654171704958,0.7317744493484497,0.004232164449818622,0,7.0
3,232,4.994863481875841e-05,9.638089475960568,0.26330777540289124,5.557572463463092,15.268836646244443,9.401677249276508,0.0,0.004232164449818622,0.007859733978234583,766.1541717049577,0.7306316494941711,0.004232164449818622,0,7.0
4,290,4.9884477823729956e-05,9.621198687060126,0.26805854717205313,5.535692872672246,15.269789153131946,9.391985806761515,0.0,0.006045949214026602,0.009673518742442563,757.0622732769044,0.7270550727844238,0.006045949214026602,1,7.1
5,348,4.979475034558115e-05,9.60317457133326,0.27192479217874593,5.517949071423761,15.253202734322384,9.387446510748534,0.0,0.004232164449818622,0.007255139056831923,743.5822249093108,0.7196385860443115,0.006045949214026602,0,7.1
6,406,4.967954458536126e-05,9.590409755706787,0.27518154475195655,5.504176830423289,15.244206033903977,9.375900021775601,0.0012091898428053204,0.003022974607013301,0.009068923821039904,732.7134220072552,0.7157762050628662,0.006045949214026602,0,7.0
7,464,4.9538978924776634e-05,9.574214458465576,0.2804303241187128,5.484681622735385,15.236410173876532,9.379368015183214,0.0012091898428053204,0.0024183796856106408,0.007859733978234583,729.5888754534462,0.7088690996170044,0.006045949214026602,0,7.0
8,522,4.937319780454559e-05,9.564611599363129,0.2833149068314454,5.473866495592841,15.229721069335938,9.376005284587302,0.0006045949214026602,0.0018137847642079807,0.009068923821039904,717.5616686819831,0.7001786231994629,0.006045949214026602,0,7.0
9,580,4.9182371575975736e-05,9.548625041698587,0.2882789923199292,5.4560523197568696,15.217175072637097,9.366297676889035,0.0,0.0024183796856106408,0.011487303506650543,707.96553808948,0.6996866464614868,0.006045949214026602,0,7.0
10,638,4.8966696325916515e-05,9.533436084615774,0.29216278061784545,5.438736751161772,15.210146328498578,9.378011763456222,0.0006045949214026602,0.0048367593712212815,0.009673518742442563,700.2073760580411,0.6873205304145813,0.006045949214026602,0,7.0
11,696,4.8726393675266716e-05,9.517701033888192,0.29547537041121513,5.423282425979088,15.195772713628308,9.379539643118143,0.0006045949214026602,0.003022974607013301,0.009673518742442563,698.6535671100363,0.6856085062026978,0.006045949214026602,0,7.0
12,754,4.846171055124401e-05,9.49863552225047,0.30110130176461974,5.400677056148134,15.187428523754251,9.369350298428333,0.0,0.0048367593712212815,0.011487303506650543,693.2932285368803,0.6827695369720459,0.006045949214026602,0,7.0
13,812,4.817291893365055e-05,9.488998824152453,0.3038580720794612,5.387509115811052,15.190526584099079,9.378648001452888,0.0012091898428053204,0.0048367593712212815,0.011487303506650543,685.76723095526,0.6716922521591187,0.006045949214026602,0,7.0
14,870,4.7860315575395316e-05,9.47865341449606,0.3082334877088152,5.374629053576239,15.183163314030088,9.381448780322739,0.0006045949214026602,0.005441354292623942,0.010278113663845224,684.7019347037485,0.6697282195091248,0.006045949214026602,0,7.0
15,928,4.752422169756048e-05,9.465599799978323,0.3111952193852129,5.361118513962318,15.17314466936835,9.374239199683341,0.0006045949214026602,0.005441354292623942,0.009673518742442563,679.5217654171705,0.6698969006538391,0.006045949214026602,0,7.0
16,986,4.716498265932501e-05,9.446413829408844,0.3149193432824365,5.3394756974845095,15.168074953144995,9.387744044450347,0.0006045949214026602,0.0048367593712212815,0.012091898428053204,679.7871825876663,0.6614063382148743,0.006045949214026602,0,7.0
17,1044,4.678296760308474e-05,9.433238489874478,0.3200018364807655,5.323882596246127,15.157416656099517,9.388043784172677,0.0018137847642079807,0.006650544135429262,0.012091898428053204,677.2285368802902,0.6578278541564941,0.006650544135429262,1,7.1
18,1102,4.637856907513366e-05,9.422537326812744,0.32327132903296374,5.311967981272731,15.14919215235217,9.378936602674344,0.0024183796856106408,0.005441354292623942,0.014510278113663845,680.2218863361547,0.6618117094039917,0.006650544135429262,0,7.0
19,1160,4.595220262229601e-05,9.408315675011997,0.32864360614069577,5.291958249848465,15.150855245261356,9.396538306608742,0.0018137847642079807,0.008464328899637243,0.015719467956469165,668.6723095525998,0.6415690779685974,0.008464328899637243,1,7.1
20,1218,4.55043063649239e-05,9.393739568776098,0.33241822339337446,5.276057539315059,15.141055600396518,9.399099562159472,0.0012091898428053204,0.009068923821039904,0.014510278113663845,668.4038694074969,0.6392228007316589,0.009068923821039904,1,7.1
21,1276,4.503534054669892e-05,9.383970457932044,0.33624879964466753,5.2615259762468005,15.144782773379621,9.407193201196526,0.0024183796856106408,0.010882708585247884,0.016928657799274487,671.5084643288997,0.637650728225708,0.010882708585247884,1,7.1
22,1334,4.454578706170075e-05,9.36190522950271,0.3434777316348306,5.237310409545898,15.124468359453925,9.399247546582297,0.0018137847642079807,0.007859733978234583,0.017533252720677146,663.0483675937122,0.6327992677688599,0.010882708585247884,0,7.0
23,1392,4.4036148959228365e-05,9.348788228528253,0.3465001254246153,5.2202477290712554,15.128161446801547,9.41889871968612,0.0012091898428053204,0.008464328899637243,0.016324062877871828,669.627569528416,0.6251365542411804,0.010882708585247884,0,7.0
24,1450,4.350694992688289e-05,9.338443345037,0.35154322817407807,5.205184278817012,15.12686324941701,9.41994579412052,0.0018137847642079807,0.011487303506650543,0.017533252720677146,659.1571946795647,0.6158376932144165,0.011487303506650543,1,7.1
25,1508,4.2958733752443195e-05,9.308787230787607,0.3585356432816078,5.172264756827519,15.111947437812542,9.41806441495035,0.0012091898428053204,0.007255139056831923,0.014510278113663845,661.0259975816203,0.6148364543914795,0.011487303506650543,0,7.0
26,1566,4.239206376508717e-05,9.297952635534878,0.36288396140624735,5.160049964641702,15.100074718738425,9.431133111125757,0.0012091898428053204,0.006045949214026602,0.016928657799274487,660.5925030229746,0.6051523685455322,0.011487303506650543,0,7.1
27,1624,4.180752225653292e-05,9.282794705752668,0.36604597085508805,5.1421325288969895,15.098464604081778,9.447045797880788,0.0006045949214026602,0.007859733978234583,0.016324062877871828,660.3174123337363,0.5977551937103271,0.011487303506650543,0,7.0
28,1682,4.120570988269472e-05,9.2657062267435,0.37277602841114177,5.120784496438914,15.088582499273892,9.43634495971569,0.0018137847642079807,0.011487303506650543,0.015114873035066506,656.9014510278114,0.5958841443061829,0.011487303506650543,0,7.1
29,1740,4.058724504646834e-05,9.252127762498526,0.3760238551887973,5.104872078731142,15.084927016291125,9.462813001445877,0.0018137847642079807,0.007255139056831923,0.013905683192261185,662.9891172914148,0.5839437246322632,0.011487303506650543,0,7.0
30,1798,3.9952763262280405e-05,9.227968922976789,0.3829628748112711,5.079203112372037,15.063211934319858,9.45495877617648,0.0018137847642079807,0.008464328899637243,0.020556227327690448,653.6033857315599,0.5793879628181458,0.011487303506650543,0,7.0
31,1856,3.9302916503054246e-05,9.214920356355865,0.38850423488123664,5.060586666238719,15.0633178250543,9.4778939158337,0.0006045949214026602,0.008464328899637243,0.015114873035066506,659.4951632406288,0.573697566986084,0.011487303506650543,0,7.1
32,1914,3.8638372530263715e-05,9.192380247444943,0.39315837775838786,5.037261239413557,15.04784240393803,9.481290481687314,0.0012091898428053204,0.007859733978234583,0.016324062877871828,660.121523579202,0.5683151483535767,0.011487303506650543,0,7.2
33,1972,3.7959814207763135e-05,9.179533382941937,0.39539255047666616,5.022492178555193,15.046594833505564,9.478830957931647,0.0006045949214026602,0.008464328899637243,0.013301088270858524,657.1747279322854,0.565735399723053,0.011487303506650543,0,7.0
34,2030,3.726793880009845e-05,9.15819628485318,0.4012755361096612,4.997355954400424,15.038258832076501,9.487292132902319,0.0006045949214026602,0.007255139056831923,0.016928657799274487,654.0985489721886,0.5593656301498413,0.011487303506650543,0,7.0
35,2088,3.6563457256020884e-05,9.142490008781696,0.4090196402936146,4.977116683433795,15.025414861481766,9.52883534967683,0.0018137847642079807,0.009673518742442563,0.018742442563482467,656.7363966142684,0.5340988636016846,0.011487303506650543,0,7.0
36,2146,3.5847093477938956e-05,9.125478201899035,0.4121862069286149,4.959205035505624,15.016347770033212,9.523767629298218,0.0024183796856106408,0.007255139056831923,0.018137847642079808,659.1874244256348,0.541710615158081,0.011487303506650543,0,7.0
37,2204,3.5119583578059846e-05,9.107563890259842,0.41952487415280837,4.93344287214608,15.018384653946448,9.53083209345678,0.0006045949214026602,0.006650544135429262,0.015719467956469165,660.8808948004837,0.5351059436798096,0.011487303506650543,0,7.0
38,2262,3.438167512198436e-05,9.087769722116404,0.424503690209882,4.912258279734645,15.004031164892789,9.543246903471388,0.0018137847642079807,0.009068923821039904,0.017533252720677146,660.1287787182588,0.528342068195343,0.011487303506650543,0,7.0
39,2320,3.363412636053269e-05,9.069936374138141,0.4277716022113274,4.8934240670039735,14.994962725146063,9.544673239305489,0.0018137847642079807,0.007859733978234583,0.016324062877871828,660.012091898428,0.522917628288269,0.011487303506650543,0,7.0
40,2378,3.2877705450590526e-05,9.049326781568857,0.4318153493363282,4.87191680382038,14.982378811671817,9.54254170686475,0.0012091898428053204,0.007859733978234583,0.014510278113663845,657.4691656590085,0.5201278924942017,0.011487303506650543,0,7.0
41,2436,3.211318966577581e-05,9.028021335601807,0.43726732299245635,4.847893682019464,14.971441170264935,9.557760681466007,0.0012091898428053204,0.010882708585247884,0.01995163240628779,655.4081015719468,0.5073567032814026,0.011487303506650543,0,7.0
42,2494,3.1341364597737686e-05,9.015565641995135,0.4439200121780922,4.829147273096545,14.969993443324649,9.569744230037445,0.0012091898428053204,0.007859733978234583,0.016324062877871828,654.7605804111246,0.5070109367370605,0.011487303506650543,0,7.0
43,2552,3.056302334890786e-05,9.001624682853961,0.44512848042208575,4.815905866951778,14.962361352197055,9.579265080167131,0.0024183796856106408,0.010882708585247884,0.016324062877871828,651.3857315598549,0.49131613969802856,0.011487303506650543,0,7.0
44,2610,2.9778965717534313e-05,8.972775409961569,0.453060457932538,4.783838140553441,14.943507161633722,9.592087272865452,0.0018137847642079807,0.009068923821039904,0.016928657799274487,656.4359129383313,0.4871724247932434,0.011487303506650543,0,7.0
