epoch,global_step,lr,train_total,train_clip_cosine,train_clip_infonce,train_lowlevel_mse,val_loss,val_top1,val_top5,val_top10,val_mean_rank,val_mean_cosine,best_metric,is_best,seconds
0,58,2.543103448275862e-05,10.119440456916546,0.6825621122943943,5.601084215887662,15.343176381341342,9.464375159184042,0.0006045949214026602,0.0036275695284159614,0.008464328899637243,827.63361547763,0.7140997648239136,0.0036275695284159614,1,6.9
1,116,5e-05,9.676697204852927,0.261256303252845,5.596715861353381,15.274900304860083,9.433453309636883,0.0006045949214026602,0.0024183796856106408,0.007859733978234583,825.2696493349456,0.7404794096946716,0.0036275695284159614,0,3.4
2,174,4.99871554050172e-05,9.656040849356815,0.261590415547634,5.5759592385127625,15.273964766798349,9.395876931740554,0.0018137847642079807,0.006650544135429262,0.011487303506650543,749.0701330108827,0.7221750020980835,0.006650544135429262,1,3.5
3,232,4.994863481875841e-05,9.56673577736164,0.2787450197441825,5.475236366535055,15.251017537610284,9.30248382619099,0.0012091898428053204,0.009068923821039904,0.015719467956469165,658.3458282950423,0.7080296874046326,0.009068923821039904,1,3.4
4,290,4.9884477823729956e-05,9.466871837089801,0.3007387801490981,5.369282755358466,15.187401574233483,9.233027021138238,0.0006045949214026602,0.009068923821039904,0.01995163240628779,604.5713422007256,0.6868494749069214,0.009068923821039904,0,3.4
5,348,4.979475034558115e-05,9.374199752149911,0.32188840981187494,5.273259656182651,15.11620674462154,9.1724517019657,0.0024183796856106408,0.010278113663845224,0.024788391777509067,556.7708585247884,0.6665729284286499,0.010278113663845224,1,3.6
6,406,4.967954458536126e-05,9.295589348365521,0.34072931881608637,5.185627509807718,15.076929898097598,9.137527149850829,0.0024183796856106408,0.015719467956469165,0.028415961305925032,517.9171704957679,0.6405317783355713,0.015719467956469165,1,3.4
7,464,4.9538978924776634e-05,9.223920608388967,0.35832948725799035,5.107086970888335,15.034016510535931,9.083889441161519,0.0036275695284159614,0.019347037484885126,0.03385731559854897,493.726723095526,0.6359926462173462,0.019347037484885126,1,3.4
8,522,4.937319780454559e-05,9.155820731458993,0.3711058219958996,5.036800581833412,14.991657717474576,9.054221481913666,0.0048367593712212815,0.02176541717049577,0.037484885126964934,468.30652962515114,0.6136374473571777,0.02176541717049577,1,3.5
9,580,4.9182371575975736e-05,9.085074950908792,0.3865982247837659,4.963156075313173,14.941282288781528,9.027874000992135,0.004232164449818622,0.02176541717049577,0.03869407496977025,456.729746070133,0.5985218286514282,0.02176541717049577,0,3.4
