epoch,global_step,loss,best_loss,lr,val_clip_sim,best_val_sim,is_best,seconds
0,1861,0.15229606755096858,0.15229606755096858,0.0001,,,1,1737.1
1,3722,0.1543989493375854,0.15229606755096858,9.931806517013612e-05,,,0,1735.1
2,5583,0.15375934853142795,0.15229606755096858,9.729086208503174e-05,,,0,1735.4
3,7444,0.15306605235689127,0.15229606755096858,9.397368756032445e-05,,,0,1735.2
4,9305,0.15631672568908545,0.15229606755096858,8.945702546981969e-05,,,0,1735.8
5,11166,0.1541536572089875,0.15229606755096858,8.386407858128706e-05,,,0,1735.7
6,13027,0.15220806958989944,0.15220806958989944,7.734740790612135e-05,,,1,1751.7
7,14888,0.15397814091885104,0.15220806958989944,7.008477123264848e-05,,,0,1747.5
8,16749,0.15407707492330294,0.15220806958989944,6.227427435703997e-05,,,0,1751.6
9,18610,0.15110837069120953,0.15110837069120953,5.4128967273616625e-05,,,1,1756.2
10,20471,0.15260056416670129,0.15110837069120953,4.5871032726383386e-05,,,0,1751.9
11,22332,0.15090080019800825,0.15090080019800825,3.772572564296005e-05,,,1,1744.8
12,24193,0.15204007299968542,0.15090080019800825,2.991522876735154e-05,,,0,1745.1
13,26054,0.1529223778251677,0.15090080019800825,2.2652592093878666e-05,,,0,1744.3
14,27915,0.1525289484152194,0.15090080019800825,1.6135921418712956e-05,,,0,1753.5
15,29776,0.153938690672178,0.15090080019800825,1.0542974530180327e-05,,,0,1734.1
16,31637,0.153547936480632,0.15090080019800825,6.026312439675552e-06,,,0,1744.9
17,33498,0.15313222346221522,0.15090080019800825,2.7091379149682685e-06,,,0,1744.5
18,35359,0.15109259907537118,0.15090080019800825,6.819348298638839e-07,,,0,1744.5
19,37220,0.14984994897090603,0.14984994897090603,0.0,,,1,1744.1
