epoch,global_step,loss,best_loss,lr,val_clip_sim,best_val_sim,is_best,seconds
0,1861,0.15381159738204692,0.15381159738204692,0.0002,0.80054,0.80054,1,1336.5
1,3722,0.15343273961101986,0.15343273961101986,0.00019863613034027224,,0.80054,0,1323.5
2,5583,0.15249275945374263,0.15249275945374263,0.00019458172417006347,,0.80054,0,1323.6
3,7444,0.15243002992755508,0.15243002992755508,0.0001879473751206489,,0.80054,0,1323.7
4,9305,0.15213121820441916,0.15213121820441916,0.00017891405093963938,,0.80054,0,1323.7
5,11166,0.1516161917194666,0.1516161917194666,0.00016772815716257412,0.80057,0.80057,1,1335.8
6,13027,0.1520713694352593,0.1516161917194666,0.0001546948158122427,,0.80057,0,1323.8
7,14888,0.1546745728558708,0.1516161917194666,0.00014016954246529696,,0.80057,0,1324.0
8,16749,0.1510883777198509,0.1510883777198509,0.00012454854871407994,,0.80057,0,1323.9
9,18610,0.15271062868690197,0.1510883777198509,0.00010825793454723325,,0.80057,0,1323.9
10,20471,0.15523138694864566,0.1510883777198509,9.174206545276677e-05,0.80129,0.80129,1,1335.8
11,22332,0.15465597164505962,0.1510883777198509,7.54514512859201e-05,,0.80129,0,1324.1
12,24193,0.15312258596503894,0.1510883777198509,5.983045753470308e-05,,0.80129,0,1324.2
13,26054,0.1514178858010115,0.1510883777198509,4.530518418775733e-05,,0.80129,0,1324.3
14,27915,0.15327925562065775,0.1510883777198509,3.227184283742591e-05,,0.80129,0,1324.1
15,29776,0.15147222645894087,0.1510883777198509,2.1085949060360654e-05,0.80915,0.80915,1,1335.9
16,31637,0.15136225258396724,0.1510883777198509,1.2052624879351104e-05,,0.80915,0,1324.6
17,33498,0.15051856411771877,0.15051856411771877,5.418275829936537e-06,,0.80915,0,1326.7
18,35359,0.1530889653697476,0.15051856411771877,1.3638696597277679e-06,,0.80915,0,1341.7
19,37220,0.1535108104192024,0.15051856411771877,0.0,0.83136,0.83136,1,1342.6
