epoch,global_step,loss,best_loss,lr,val_clip_sim,best_val_sim,is_best,seconds
0,1108,0.162181823837531,0.162181823837531,0.00016014440433212998,0.60507,0.60507,1,818.0
1,2216,0.15457247868743884,0.15457247868743884,0.00019950829025450114,,0.60507,0,805.1
2,3324,0.16212882987496222,0.15457247868743884,0.0001973326597248006,,0.60507,0,805.1
3,4432,0.15606230402393087,0.15457247868743884,0.0001934564464599461,,0.60507,0,801.2
4,5540,0.16021237180812123,0.15457247868743884,0.0001879473751206489,,0.60507,0,801.4
5,6648,0.15873913490315977,0.15457247868743884,0.00018090169943749476,0.70101,0.70101,1,812.9
6,7756,0.1569157049936407,0.15457247868743884,0.00017244252047910892,,0.70101,0,801.5
7,8864,0.16075168399564418,0.15457247868743884,0.0001627176358473537,,0.70101,0,801.3
8,9972,0.1600645813193293,0.15457247868743884,0.00015189695737812152,,0.70101,0,801.4
9,11080,0.1594971823695855,0.15457247868743884,0.00014016954246529696,,0.70101,0,801.5
10,12188,0.16002211546883083,0.15457247868743884,0.00012774029087618446,0.73182,0.73182,1,813.2
11,13296,0.15986260932758645,0.15457247868743884,0.0001148263647711842,,0.73182,0,801.6
12,14404,0.15853084332082643,0.15457247868743884,0.00010165339447663587,,0.73182,0,801.6
13,15512,0.1583569495339042,0.15457247868743884,8.845153630304139e-05,,0.73182,0,801.6
14,16620,0.1610234712314778,0.15457247868743884,7.54514512859201e-05,,0.73182,0,801.7
15,17728,0.1595557707840209,0.15457247868743884,6.28802751081779e-05,0.72065,0.73182,0,813.5
16,18836,0.158880309776217,0.15457247868743884,5.095764961694922e-05,,0.73182,0,801.7
17,19944,0.15781125700694518,0.15457247868743884,3.9891885271697496e-05,,0.73182,0,801.7
18,21052,0.15713333918343847,0.15457247868743884,2.9876321572751144e-05,,0.73182,0,801.6
19,22160,0.15950945962716323,0.15457247868743884,2.1085949060360654e-05,,0.73182,0,801.7
20,23268,0.15836818203829717,0.15457247868743884,1.3674351904242611e-05,0.7507,0.7507,1,813.9
21,24376,0.15755410001827602,0.15457247868743884,7.771024502261526e-06,,0.7507,0,801.9
22,25484,0.15608546576817886,0.15457247868743884,3.4791089722651436e-06,,0.7507,0,801.9
23,26592,0.16093465164127127,0.15457247868743884,8.735930673024806e-07,,0.7507,0,802.4
24,27700,0.15721452892486137,0.15457247868743884,0.0,0.73302,0.7507,0,813.7
