epoch,global_step,loss,best_loss,lr,val_clip_sim,best_val_sim,is_best,seconds
0,1108,0.15925879713555444,0.15925879713555444,0.00016014440433212998,0.7315,0.7315,1,797.7
1,2216,0.16135748980599035,0.15925879713555444,0.00019950829025450114,,0.7315,0,781.6
2,3324,0.15710771752760508,0.15710771752760508,0.0001973326597248006,,0.7315,0,782.1
3,4432,0.15771877364903955,0.15710771752760508,0.0001934564464599461,,0.7315,0,781.1
4,5540,0.1578846543495685,0.15710771752760508,0.0001879473751206489,,0.7315,0,793.5
5,6648,0.15810779324399707,0.15710771752760508,0.00018090169943749476,0.73143,0.7315,0,801.5
6,7756,0.15817019055094125,0.15710771752760508,0.00017244252047910892,,0.7315,0,788.4
7,8864,0.1605789705192355,0.15710771752760508,0.0001627176358473537,,0.7315,0,785.7
8,9972,0.16135941170584178,0.15710771752760508,0.00015189695737812152,,0.7315,0,783.2
9,11080,0.15838078363519173,0.15710771752760508,0.00014016954246529696,,0.7315,0,785.4
10,12188,0.1589735265170544,0.15710771752760508,0.00012774029087618446,0.76001,0.76001,1,803.7
11,13296,0.1588640641339062,0.15710771752760508,0.0001148263647711842,,0.76001,0,797.6
12,14404,0.15803598796598006,0.15710771752760508,0.00010165339447663587,,0.76001,0,787.2
13,15512,0.15785994288600216,0.15710771752760508,8.845153630304139e-05,,0.76001,0,782.5
14,16620,0.1568666064245943,0.1568666064245943,7.54514512859201e-05,,0.76001,0,784.5
15,17728,0.1578524687670342,0.1568666064245943,6.28802751081779e-05,0.77159,0.77159,1,801.7
16,18836,0.1560783925940155,0.1560783925940155,5.095764961694922e-05,,0.77159,0,791.6
17,19944,0.15596203743045348,0.15596203743045348,3.9891885271697496e-05,,0.77159,0,797.8
18,21052,0.1605218168866679,0.15596203743045348,2.9876321572751144e-05,,0.77159,0,792.0
19,22160,0.159743986412903,0.15596203743045348,2.1085949060360654e-05,,0.77159,0,794.3
20,23268,0.15573576923917806,0.15573576923917806,1.3674351904242611e-05,0.75986,0.77159,0,800.3
21,24376,0.15751131073339042,0.15573576923917806,7.771024502261526e-06,,0.77159,0,783.2
22,25484,0.1557072321611467,0.1557072321611467,3.4791089722651436e-06,,0.77159,0,783.4
23,26592,0.15721733603478016,0.1557072321611467,8.735930673024806e-07,,0.77159,0,780.4
24,27700,0.15870299278525557,0.1557072321611467,0.0,0.77764,0.77764,1,791.8
